datetime,tempmax,tempmin,temp,humidity,description
4/28/2022,34.83333333,28,30.66666667,74.4,Partly cloudy throughout the day.
4/29/2022,34.05555556,26,30,69.5,Partly cloudy throughout the day.
4/30/2022,35,26,30.16666667,71.1,Partly cloudy throughout the day.
5/1/2022,32,27,29.83333333,73.5,Partly cloudy throughout the day.
5/2/2022,34,26,29.77777778,70.5,Partly cloudy throughout the day.
5/3/2022,34,27,30.27777778,70.2,Partly cloudy throughout the day.
5/4/2022,33,24,28.33333333,81.5,Partly cloudy throughout the day with early morning rain.
5/5/2022,32.11111111,25,28.44444444,76.2,Partly cloudy throughout the day.
5/6/2022,33,25,28.61111111,77.8,Partly cloudy throughout the day with late afternoon rain.
5/7/2022,33,24,28.72222222,73.5,Partly cloudy throughout the day.
5/8/2022,32,26,29.33333333,74.5,Partly cloudy throughout the day.
5/9/2022,31,27,28.77777778,76.2,Partly cloudy throughout the day with morning rain.
5/10/2022,31.11111111,28,29.55555556,72.6,Partly cloudy throughout the day with early morning rain.
5/11/2022,29,23,26.61111111,82.9,Partly cloudy throughout the day with rain in the morning and afternoon.
5/12/2022,27.22222222,23.83333333,25.44444444,85.5,Cloudy skies throughout the day with morning rain.
5/13/2022,31.05555556,24,27.5,81.7,Partly cloudy throughout the day.
5/14/2022,32,25.83333333,28.5,79.8,Partly cloudy throughout the day with morning rain.
5/15/2022,32,26,28.27777778,80.4,Partly cloudy throughout the day with early morning rain.
5/16/2022,30.11111111,23.11111111,26.72222222,88.7,Cloudy skies throughout the day with rain.
5/17/2022,28.11111111,23,25.66666667,86.7,Cloudy skies throughout the day.
5/18/2022,28,24,25.83333333,86.5,Cloudy skies throughout the day with rain.
5/19/2022,24,21,22.27777778,90.5,Cloudy skies throughout the day with a chance of rain throughout the day.
5/20/2022,25,21,23.11111111,89.7,Partly cloudy throughout the day with rain in the morning and afternoon.
5/21/2022,30,22.83333333,25.38888889,83.7,Partly cloudy throughout the day with late afternoon rain.
5/22/2022,27,24,25.33333333,91.5,Cloudy skies throughout the day with afternoon rain.
5/23/2022,31,24,27.55555556,85,Partly cloudy throughout the day.
5/24/2022,32,26,28.83333333,84.3,Partly cloudy throughout the day with morning rain.
5/25/2022,32.83333333,26,29.16666667,78.5,Partly cloudy throughout the day.
5/26/2022,32.05555556,25.94444444,29.05555556,76.2,Partly cloudy throughout the day with morning rain.
5/27/2022,31.11111111,25.88888889,28.61111111,76.7,Partly cloudy throughout the day.
5/28/2022,31,24,27.5,79,Partly cloudy throughout the day with rain.
5/29/2022,31,24,27.61111111,76.3,Partly cloudy throughout the day with early morning rain.
5/30/2022,31,25,28.22222222,75.9,Partly cloudy throughout the day.
5/31/2022,31,23,27.44444444,80.3,Partly cloudy throughout the day with a chance of rain throughout the day.
6/1/2022,30,24,27.22222222,81.2,Partly cloudy throughout the day with afternoon rain.
6/2/2022,31,24,27.38888889,82.1,Partly cloudy throughout the day.
6/3/2022,32,25,28.11111111,79.2,Partly cloudy throughout the day with rain.
6/4/2022,32,25,28.72222222,77.3,Partly cloudy throughout the day.
6/5/2022,32,25,28.88888889,73.8,Partly cloudy throughout the day.
6/6/2022,31,24.61111111,27.55555556,80.1,Partly cloudy throughout the day.
6/7/2022,31.05555556,24,26.72222222,83.6,Partly cloudy throughout the day with late afternoon rain.
6/8/2022,30,24,26.55555556,83.2,Partly cloudy throughout the day with morning rain.
6/9/2022,31.27777778,24,27.61111111,79.4,Partly cloudy throughout the day with rain.
6/10/2022,31,23.88888889,26.33333333,84.7,Partly cloudy throughout the day with rain.
6/11/2022,28.16666667,23,25.38888889,87.2,Cloudy skies throughout the day with rain.
6/12/2022,30.11111111,23,24.72222222,89.4,Cloudy skies throughout the day with rain.
6/13/2022,30,23,26.11111111,81.7,Partly cloudy throughout the day.
6/14/2022,31,24,27.11111111,80.4,Partly cloudy throughout the day.
6/15/2022,30,24,26.77777778,85.8,Partly cloudy throughout the day with rain.
6/16/2022,30,24,25.88888889,88.8,Partly cloudy throughout the day with a chance of rain throughout the day.
6/17/2022,31.05555556,24,27.16666667,80.3,Partly cloudy throughout the day with early morning rain.
6/18/2022,30,24,26.55555556,85.6,Partly cloudy throughout the day with late afternoon rain.
6/19/2022,30.05555556,23.88888889,26.05555556,83.8,Cloudy skies throughout the day with rain.
6/20/2022,30,23,25.44444444,84.8,Partly cloudy throughout the day with late afternoon rain.
6/21/2022,27,22.94444444,23.72222222,93.2,Cloudy skies throughout the day with a chance of rain throughout the day.
6/22/2022,25,23,23.94444444,93.9,Cloudy skies throughout the day with a chance of rain throughout the day.
6/23/2022,28,24,25.05555556,90.4,Cloudy skies throughout the day with rain.
6/24/2022,29,24,25.66666667,87.6,Cloudy skies throughout the day with a chance of rain throughout the day.
6/25/2022,29,23,25.88888889,87.8,Partly cloudy throughout the day with rain clearing later.
6/26/2022,30,25,27.11111111,84,Partly cloudy throughout the day with rain.
6/27/2022,30,24,26.27777778,85.5,Partly cloudy throughout the day with rain.
6/28/2022,29,23.88888889,24.88888889,90.3,Partly cloudy throughout the day with a chance of rain throughout the day.
6/29/2022,26.11111111,23.83333333,24.72222222,92.5,Cloudy skies throughout the day with a chance of rain throughout the day.
6/30/2022,24.22222222,24,24,94.7,Cloudy skies throughout the day with a chance of rain throughout the day.
7/1/2022,26,23,24.5,93.4,Cloudy skies throughout the day with rain.
7/2/2022,29,24,26.16666667,88.7,Cloudy skies throughout the day with a chance of rain throughout the day.
7/3/2022,29.05555556,23.88888889,26.27777778,86.8,Cloudy skies throughout the day with rain.
7/4/2022,26,23.83333333,24.61111111,92.4,Cloudy skies throughout the day with a chance of rain throughout the day.
7/5/2022,25.61111111,23,24.16666667,93.7,Cloudy skies throughout the day with rain in the morning and afternoon.
7/6/2022,27,24,24.88888889,91.4,Cloudy skies throughout the day with rain.
7/7/2022,25,23,24.16666667,93.5,Cloudy skies throughout the day with rain.
7/8/2022,26.66666667,23,24.33333333,92.2,Cloudy skies throughout the day with a chance of rain throughout the day.
7/9/2022,26,23,24.22222222,93.8,Cloudy skies throughout the day with morning rain.
7/10/2022,26,23.22222222,24.38888889,92.1,Cloudy skies throughout the day with rain.
7/11/2022,27.27777778,22.11111111,24.94444444,90.7,Cloudy skies throughout the day with rain.
7/12/2022,29,24,25.88888889,87.6,Partly cloudy throughout the day with a chance of rain throughout the day.
7/13/2022,27,23.83333333,24.83333333,90.8,Cloudy skies throughout the day with rain.
7/14/2022,28,23,25.44444444,88.7,Cloudy skies throughout the day with a chance of rain throughout the day.
7/15/2022,29,23,26,87.9,Partly cloudy throughout the day with a chance of rain throughout the day.
